,0_religiosity,0_frequency_religious_practices,0_change_frequency_religious_practices,0_frequency_meditation,0_change_frequency_meditation,0_prior_attention,0_international,0_taking_medication,1_psychedelic_consumed,2_how_times_consumed,2_qualification_experience,2_microdosing_program,2_change_consumption,2_decrease_by_factors,3_psychedelic_but_meaningful,4_psychedelic_last_time,5_psychedelic_reasons,5_other_reason,6_psychoactives_consumed,6_other_psychoactive,7_marihuana,7 stimulants,7_sedatives,7_antidepressants or antipsychotics,7_dissociative,7_mdma,7_other,7_marijuana_decreased_by_external_factors,7_stimulants_decrease_by_external_factors,7_sedatives_reduced_by_external_factors,7_antidepressants or antipsychotics_decreased_by_external_factors,7_dissociative_decreased_by_external_factors,7_mdma_decreased_by_external_factors,7_other_decreased_due_to_external_factors,7_tobacco,7_tobacco_decreased_due_to_external_factors,7_caffeine,7_caffeine_decreased_by_external_factors,7_alcohol,7_alcohol_decreased_by_external_factors,8_calm,8_insurance,8_tense,8_disgusted,8_like_a_fish_in_water,8_changed,8_concerned_possible_problem,8_satisfied,8_scared,8_comfortable,8_confident,8_nervous,8_agitated,8 undecided,8_quiet,8_to_taste,8 worried,8_stunned,8 balanced,8_good,9_good,9_nervous,9_to_taste,9_I_wish_to_be_so_happy,9_sorry_that_failed,9_rested,9_calm_serene_calm,9_difficulties_piling_up,9_I worry_about_unimportant_things,happy,9_bad_thoughts,9_lack_trust,9_insurance,9_decide_quickly,9_out_of_place,9_satisfied,9_unimportant_things_occupy_annoy,9_disappointments_affect,9_person_stable,9_things_between_hands_nervous_tense,10_interested,10 distressed,10_excited_excited,10_affected,10_strong,10_culpable,10_scared,10_aggressive,10 excited,10_satisfied_with_himself,10_irritable,10_awake,10_ashamed,10_inspired,10_nervous,10_decided,10_concentrated,10_agitated,10_active,10_scary,11_I_know_what_I_want_to,11_accept_what_goes_wrong,11_it_imports_to_think_about_the_future,11_I_can_say_what_I_think,11_people_like_me,11_will_achieve_goals,11_story_with_people_who_help,11_in_general_I_get_on_good_with_people,11_I_do_what_I_want,11_capable_of_thinking_life_project,11_accept_mistakes_improve,11_make_decisions_without_hesitating,11_face_obligations_without_problems,12_I_carry_out_plans_until_the_end,12_handling_problems_different_modes,12_do_things_without_depending,12_I keep_interest_important_things,12_take_things_without_concern,12_friendly_withme,12_manage_several_things,12_decided,12_rare_times_I_ask_the_purpose_of_things,12_I_do_things_by_one,12_self_disciplined,12_maintain_interest,12_usually_find_things_to_laugh about,12_confidence_in_my_going_through_difficult_times,12_in_emergencies_you_can_trust_me,12_see_situation_several_points_of_view,12_my_life_has_sense,12_I_don't_insist_in_things_that_I_can't_do_anything,12_meeting_exit_in_difficult_situation,12_I_have_energy_for_what_I_have_to_do,12_I_feel_comfortable_if_there_are_people_who_don't_like_me,13_login_disclaimer_fork,hash
122,12,5,50,2,48,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,4,8",-999,0,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,-999,-999,50,0,0,0,3,3,2,1,3,1,2,3,1,3,3,2,2,2,3,3,2,1,3,3,4,1,4,1,1,3,4,2,1,4,2,1,4,4,1,3,1,1,4,2,4,2,4,2,4,2,2,1,4,4,2,3,1,4,2,4,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,5,6,5,5,6,6,6,6,3,5,3,5,7,6,7,7,7,6,6,5,4,2,7947457654041419086
123,0,5,50,5,50,1,2,2,"2,4,7",5,66,2,13,0,4,4,"1,2",-999,"1,2,3,4,8,9",-999,51,0,-999,-999,-999,0,-999,0,0,-999,-999,-999,0,-999,60,0,51,0,68,0,3,2,2,3,1,2,2,2,1,3,3,2,1,1,3,2,2,3,2,3,3,2,3,2,1,3,4,1,2,4,1,2,4,4,1,4,4,2,3,1,3,3,1,3,3,3,2,1,2,3,1,2,1,1,3,3,2,1,3,1,2,1,1,3,1,2,1,1,3,1,1,1,2,6,6,7,6,3,6,7,7,1,1,6,6,7,7,7,6,6,4,7,6,2,2,5637120168051887683
124,14,5,50,4,76,2,2,2,"1,2,4,7",15,71,2,49,0,4,7,1,-999,"1,2,3,4,7,8,9",-999,80,2,-999,-999,0,1,-999,0,true,-999,-999,true,true,-999,62,0,39,0,78,0,3,2,2,2,2,1,3,2,1,3,4,1,1,2,3,2,2,1,3,3,3,1,3,2,2,3,2,2,1,3,1,1,4,4,2,3,2,3,3,2,3,3,2,3,5,2,2,1,4,4,3,3,3,3,2,4,3,1,3,1,2,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,1,4,5,3,2,2,2,2,1,3,4,2,1,2,2,7874979658546886337
125,0,5,50,4,42,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,4,8",-999,0,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,-999,-999,53,0,100,0,2,2,2,1,2,2,2,2,2,3,3,2,1,2,2,2,2,1,2,3,3,3,4,1,2,2,2,1,2,2,2,1,3,3,2,3,2,1,2,1,3,1,3,1,3,2,2,1,3,4,1,4,1,2,3,4,4,1,5,3,2,1,1,2,1,1,1,1,1,1,1,1,1,5,4,7,7,4,5,7,5,3,5,5,5,7,7,7,7,6,7,7,5,6,2,-6467661159835190412
126,19,5,50,3,69,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,0,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,0,0,76,0,0,0,2,3,2,2,2,2,4,2,3,2,2,4,3,4,2,2,4,3,2,2,3,3,3,3,3,2,2,2,3,3,2,3,3,2,3,2,3,2,2,2,2,5,3,5,3,4,4,2,3,3,4,3,4,5,4,3,3,3,3,4,2,1,1,1,2,2,1,1,2,1,1,2,2,4,2,4,3,3,3,4,4,4,4,5,4,2,2,2,2,2,4,2,4,4,2,4330076514726348914
127,0,5,50,5,50,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"2,4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,48,0,48,0,3,3,2,2,2,1,2,2,1,2,3,1,1,2,3,2,2,1,3,3,4,2,3,1,2,2,3,2,2,3,2,2,3,2,2,3,1,3,3,2,3,1,2,2,4,2,1,2,3,3,2,3,1,4,1,3,3,1,3,1,2,2,1,2,1,2,1,1,2,1,2,2,2,4,5,6,5,4,4,3,4,6,7,3,5,7,5,4,6,6,4,5,4,2,2,3393981762348485141
128,0,5,50,4,53,1,2,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,5,6,8",-999,49,-999,93,48,-999,-999,-999,0,-999,0,0,-999,-999,-999,53,0,78,0,26,0,4,4,2,1,4,1,3,3,1,4,1,3,1,3,3,4,2,1,4,3,1,4,3,4,4,1,3,4,4,2,4,4,2,2,3,2,4,3,3,4,5,3,5,1,3,1,2,1,4,5,1,3,1,4,2,4,4,3,4,1,1,1,3,1,2,3,2,2,3,3,2,2,3,2,1,3,1,1,2,1,3,5,3,1,1,6,1,7,7,1,1,2,1,1,2,4340014074686564934
129,15,5,50,5,50,2,2,2,1,2,100,2,0,true,-999,5,"1,2,4",-999,"1,8",-999,100,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,100,0,4,4,1,2,4,1,2,4,1,4,3,1,1,1,4,4,2,1,3,4,4,1,3,2,2,2,4,2,2,4,2,2,3,4,2,3,1,2,4,1,4,1,4,1,4,1,1,1,3,4,1,3,1,3,1,4,3,1,3,1,2,1,2,1,1,2,1,1,2,2,1,1,2,4,7,4,7,4,7,4,5,2,4,4,7,6,4,6,6,4,7,5,6,2,2,8852577732218694477
130,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,8",-999,19,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,73,0,-999,-999,48,0,3,2,2,1,1,2,2,1,2,2,3,2,1,1,2,2,2,3,1,2,4,2,3,2,1,3,3,2,3,4,1,1,4,4,2,3,3,2,4,2,3,2,3,4,3,1,1,3,1,3,1,5,1,3,3,2,1,2,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,4,6,6,4,4,6,7,6,1,2,2,4,6,5,6,5,4,1,7,4,4,2,-4246892540097866566
131,20,5,50,4,100,1,2,1,2,10,81,2,0,true,-999,5,"2,5",-999,"1,2,3,4,5,6,8,9",-999,78,0,67,100,-999,0,-999,0,true,0,0,-999,true,-999,60,0,100,0,29,true,2,2,2,2,4,1,2,3,1,3,3,1,1,2,3,4,2,2,3,3,3,2,1,4,3,1,2,3,4,2,3,4,2,1,4,2,4,4,1,2,5,4,4,5,3,5,1,4,1,3,5,5,5,5,3,1,3,1,4,1,2,3,1,1,1,2,3,1,2,3,2,3,3,1,3,2,2,2,1,5,3,1,3,1,1,7,1,7,7,1,7,4,1,1,2,-3241122659673208448
132,0,5,50,5,50,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,2,2,1,1,1,2,3,1,1,3,1,2,1,2,3,3,2,1,2,1,1,2,1,4,3,2,1,4,4,2,3,4,2,1,2,1,4,3,1,3,1,3,2,1,1,4,1,1,1,1,4,2,1,1,1,1,1,3,1,1,3,3,2,3,2,2,2,2,3,2,3,3,2,3,1,1,6,4,1,1,1,2,3,3,3,5,1,7,5,3,7,3,4,1,2,-4403386998224762389
133,49,4,74,4,79,1,1,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,5,6,8",-999,3,-999,0,64,-999,-999,-999,true,-999,true,0,-999,-999,-999,0,true,65,0,0,true,2,2,3,2,2,3,4,2,3,2,2,2,2,3,2,2,3,3,1,2,2,3,2,4,4,2,1,3,3,2,3,4,2,1,2,2,3,3,1,2,3,4,4,4,3,4,4,1,3,2,2,2,3,2,4,3,2,3,1,4,2,2,1,2,2,1,1,1,2,1,1,3,3,3,6,3,7,2,3,5,2,3,5,2,2,4,3,7,6,4,4,4,4,1,2,4315497804017262845
134,0,5,50,3,68,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,43,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,66,0,52,0,64,0,3,2,2,2,2,2,1,3,2,3,3,3,2,2,3,3,2,1,3,3,4,1,4,4,2,4,4,1,1,3,1,3,4,4,1,4,2,2,4,1,4,1,4,2,5,1,2,1,3,4,1,4,2,4,1,5,5,1,4,1,3,1,1,1,2,1,1,2,3,1,1,2,2,5,6,6,6,6,6,6,6,1,4,4,7,7,5,7,5,5,4,6,7,1,2,5003159728665103176
135,0,5,50,5,50,1,2,2,2,10,100,2,0,0,-999,4,"2,4",-999,"1,2,3,4,5,8,9",-999,80,0,46,-999,-999,2,-999,0,0,0,-999,-999,0,-999,58,0,47,0,100,0,3,4,1,3,3,1,1,4,1,4,2,1,1,3,4,4,1,1,2,3,4,3,3,2,2,3,2,2,1,4,1,2,3,1,1,2,2,2,4,1,3,3,2,3,2,1,1,3,3,4,3,4,1,1,3,4,3,2,2,1,3,1,2,1,1,2,1,1,3,1,1,3,1,1,7,5,3,3,7,7,1,1,1,1,3,7,4,6,4,1,7,4,3,1,2,6448377218141353715
136,0,5,50,5,50,2,2,2,2,2,100,2,43,0,-999,6,"2,1,4",-999,"4,8,9",-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,51,0,55,0,2,2,3,3,1,2,2,2,2,2,2,2,1,2,2,2,3,3,2,2,2,2,1,2,2,2,4,2,4,3,3,2,2,2,3,1,4,3,1,2,4,3,1,2,1,1,1,1,1,2,2,3,2,1,1,2,4,1,2,1,2,3,1,3,3,2,2,2,1,1,2,2,2,5,5,6,7,1,1,6,7,1,4,5,4,4,4,5,4,4,3,5,2,1,2,-5570640067172561840
137,3,4,14,2,81,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,8,4",-999,0,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,77,0,59,0,20,0,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,2,3,4,2,3,3,4,3,4,4,2,2,2,2,4,2,3,2,3,3,4,3,4,2,3,1,4,2,3,4,2,4,3,2,2,4,3,3,2,2,1,1,3,2,1,2,2,1,1,2,2,5,6,6,3,3,3,6,4,3,3,7,4,7,3,5,7,7,4,6,5,4,2,7112038353275450648
138,0,5,50,3,59,1,2,2,2,1,100,2,15,true,-999,1,"1,2",-999,"1,2,3,5,6,7,8,9,10",Crak,76,0,17,0,0,0,0,0,0,0,true,0,0,0,90,0,-999,-999,61,0,2,3,2,1,3,1,2,3,1,3,3,2,1,2,2,3,2,1,3,3,3,2,4,2,2,3,2,2,2,4,1,2,3,2,2,3,2,3,3,2,5,1,4,1,3,2,2,1,4,4,2,3,1,3,2,3,2,1,3,2,1,1,1,2,1,2,1,1,2,1,1,2,1,5,2,6,7,3,7,5,3,2,6,1,5,7,7,7,5,6,6,6,5,4,2,-7038515079707648402
139,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,0,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,0,true,34,0,28,0,1,1,2,3,2,2,4,1,3,2,1,2,1,1,2,2,3,1,1,2,2,1,1,1,2,2,2,2,3,4,4,4,1,3,2,3,1,4,3,1,3,5,3,5,3,1,4,1,2,1,4,4,1,1,4,4,1,3,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,6,5,7,5,3,1,7,5,1,1,7,5,7,1,7,7,3,1,7,7,5,2,708678413793103321
140,7,5,50,4,54,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,82,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,37,true,60,0,36,0,2,1,4,4,2,2,3,1,2,3,2,4,1,2,1,2,3,4,1,2,2,4,1,2,4,1,2,4,3,2,2,4,1,2,4,1,2,2,1,3,2,4,2,5,3,5,3,5,1,1,5,2,4,2,5,2,1,1,1,3,3,1,1,2,1,3,2,2,3,3,2,3,3,3,4,1,5,1,6,7,3,1,2,4,2,3,5,5,5,4,6,3,1,1,2,4020069384077817269
141,48,5,50,5,50,1,2,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,5,8",-999,26,-999,73,-999,-999,-999,-999,0,-999,0,-999,-999,-999,-999,77,0,56,0,58,0,2,4,3,3,3,3,3,1,2,3,1,3,1,1,2,2,2,2,1,2,2,4,3,3,3,1,1,3,3,2,3,2,2,1,4,2,4,4,2,3,2,5,2,3,3,1,3,2,2,1,4,2,5,3,5,3,3,3,1,4,2,3,1,3,3,2,1,2,3,1,3,3,3,5,7,4,3,1,1,6,5,1,7,4,2,1,1,4,5,1,1,4,1,1,2,-42324878029930950
142,60,4,49,4,58,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"4,8",-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21,0,69,0,2,1,3,3,2,2,2,1,2,2,1,2,1,4,2,2,4,3,1,2,1,2,2,3,2,1,3,3,2,3,2,3,2,1,2,3,3,2,2,3,1,2,1,2,3,1,2,3,1,3,1,5,1,1,3,1,3,1,3,2,2,1,2,1,2,2,3,2,2,1,1,2,2,6,6,4,5,3,3,5,3,2,2,4,5,5,3,5,6,6,3,5,3,4,2,7988453411321603165
143,3,5,50,5,50,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,6,8",-999,0,-999,-999,0,-999,-999,-999,true,-999,-999,true,-999,-999,-999,0,true,100,0,29,0,1,1,4,4,1,4,4,2,3,1,1,4,4,4,1,1,4,4,2,1,2,3,2,4,4,4,2,4,4,2,4,4,2,2,4,2,4,4,1,4,1,5,3,5,2,5,5,5,2,2,5,2,3,2,5,2,2,5,2,5,2,3,1,3,1,1,1,1,3,2,2,2,2,5,3,2,6,2,1,2,3,1,3,5,1,7,3,6,3,1,5,2,1,2,2,666526187915892694
144,0,5,50,4,0,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,8",-999,0,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,100,0,100,0,100,0,2,3,4,4,1,3,3,2,2,2,3,3,3,3,2,2,3,2,2,2,3,2,3,3,2,1,3,2,2,3,2,2,3,3,2,2,3,2,4,2,3,2,3,3,4,4,3,1,3,4,4,4,1,2,4,3,4,3,3,4,3,1,1,2,1,2,1,1,1,1,1,1,1,3,5,3,4,5,6,5,3,2,4,2,4,5,5,7,7,6,4,6,5,7,2,-3523983086413461754
145,0,5,50,5,50,2,2,2,"1,2,7",15,70,2,0,0,2,4,"1,2,4",-999,"1,4,8",-999,86,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,69,0,100,0,2,4,3,2,3,3,1,3,1,3,2,1,2,3,2,2,1,1,1,3,4,1,1,4,3,3,2,1,3,3,1,1,3,4,1,1,4,1,2,1,1,2,1,3,2,4,3,1,2,2,4,1,1,1,3,1,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,6,7,6,7,6,2,5,7,2,6,3,3,7,4,7,7,3,3,6,4,4,2,4615711922296226284
146,0,5,50,4,17,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,4,8",-999,6,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,-999,-999,76,0,68,0,1,2,3,3,1,2,3,1,2,1,2,2,2,3,2,1,3,1,2,2,3,2,4,2,2,2,2,1,2,3,2,3,3,1,1,2,3,4,3,2,2,4,2,4,2,3,3,1,2,2,3,2,1,2,1,2,2,3,1,1,1,1,1,2,1,1,1,1,2,1,1,3,2,5,3,5,6,3,3,5,3,3,2,2,5,6,6,6,4,6,3,5,5,3,2,9202096498676717865
147,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,5,8",-999,19,-999,23,-999,-999,-999,-999,true,-999,0,-999,-999,-999,-999,77,0,86,0,100,0,2,1,2,3,1,3,2,2,2,3,2,3,1,3,2,3,2,3,1,2,4,3,2,1,3,1,2,2,3,4,3,2,3,2,4,3,3,2,3,3,5,1,4,1,4,2,1,1,3,4,1,5,1,4,2,4,3,1,4,1,2,1,1,3,2,1,1,1,1,1,2,3,1,6,4,7,6,2,5,1,6,3,6,6,6,4,4,6,5,5,4,5,6,2,2,4321398998230419044
148,35,4,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,3,3,2,1,2,4,4,3,1,3,3,3,1,2,2,3,4,1,3,2,4,3,3,2,2,2,2,1,2,3,1,2,3,2,1,3,1,4,2,2,3,3,2,3,5,1,2,4,3,4,4,5,1,3,3,4,4,1,3,1,1,1,1,2,1,2,1,1,3,1,1,2,1,5,6,7,7,2,3,5,4,1,3,7,6,6,5,5,6,7,5,6,5,2,2,743285551730586572
149,11,5,50,2,37,1,2,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,4,5,6,8",-999,0,-999,32,64,-999,-999,-999,0,-999,0,0,-999,-999,-999,-999,-999,100,0,28,0,2,1,2,2,2,3,3,2,2,2,2,3,2,2,1,2,3,3,1,1,2,3,2,1,2,1,1,4,4,2,3,2,2,1,2,1,4,1,1,4,3,5,3,4,2,4,4,4,3,1,4,2,3,3,4,2,4,3,4,4,2,1,2,3,1,1,1,1,2,3,1,3,2,6,3,6,3,2,4,4,2,1,5,6,3,5,4,5,7,4,4,5,3,1,2,8581334593293810070
150,0,5,50,5,50,1,2,2,2,1,49,2,49,0,-999,9,2,-999,"1,4,8,7",-999,47,-999,-999,-999,47,-999,-999,0,-999,-999,-999,0,-999,-999,-999,-999,41,0,56,0,4,4,1,1,4,1,2,4,1,4,4,1,1,1,3,4,2,1,3,4,3,1,4,1,2,2,2,2,1,4,1,1,4,3,1,4,1,1,4,1,2,1,1,1,3,1,1,2,1,5,2,2,1,3,1,5,2,1,3,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,4,6,7,6,6,5,6,3,3,3,4,7,7,7,5,7,6,7,2,4,2,5686920333227086073
151,7,4,50,3,68,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,8",-999,34,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,59,0,3,2,2,4,1,2,1,2,2,2,2,1,1,3,3,2,3,2,2,2,4,2,3,2,2,3,4,2,2,3,2,3,3,2,2,3,2,3,4,2,3,2,1,2,3,1,2,1,2,3,2,4,1,2,2,2,3,1,3,1,2,2,1,3,2,1,1,1,2,2,1,3,1,6,5,4,6,4,5,5,2,2,2,6,5,6,4,5,6,7,3,6,7,3,2,-5275080463799241603
152,63,4,38,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,4,8",-999,42,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,-999,-999,69,0,59,0,1,2,3,4,1,3,3,1,2,1,3,3,1,1,2,1,3,2,1,2,3,3,2,2,2,3,2,2,2,3,2,2,2,1,3,1,2,3,3,2,4,2,3,4,3,1,1,1,2,3,4,3,1,2,4,3,4,1,5,1,2,1,1,2,1,1,2,1,2,1,1,2,1,5,5,4,6,4,6,5,3,1,2,6,7,7,6,5,7,7,4,5,5,3,2,8825518031116268276
153,0,5,50,4,61,1,2,2,"1,2",5,35,2,50,0,2,7,"1,2",-999,"1,2,8,9",-999,47,-999,-999,-999,-999,48,-999,0,-999,-999,-999,-999,0,-999,48,0,-999,-999,47,0,2,4,2,1,3,1,1,3,1,3,4,1,1,1,3,3,1,1,4,4,4,2,4,1,1,3,4,1,1,4,1,1,4,4,1,4,1,1,4,1,5,1,5,1,4,1,1,1,4,5,1,5,1,4,2,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,7,6,3,1,3,2,1,2,2,7,7,6,6,7,7,5,6,6,5,2,-3851394541028138524
154,0,5,50,5,50,1,2,1,2,1,100,2,0,true,-999,5,"2,1",-999,"1,2,4,6,8",-999,0,-999,-999,50,-999,-999,-999,true,-999,-999,0,-999,-999,-999,0,0,50,0,0,0,1,2,3,3,1,3,2,1,2,2,2,4,3,3,2,2,2,4,2,2,3,2,3,2,3,3,3,2,4,2,4,4,2,2,2,2,4,2,2,3,2,5,1,4,2,1,2,3,2,2,5,3,1,1,5,4,2,4,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,5,5,5,3,2,5,4,3,2,5,2,6,6,4,5,5,6,7,5,3,1,2,7054719249156393443
155,0,5,50,4,49,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,4,8",-999,0,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,-999,-999,73,0,65,0,3,3,2,2,3,1,2,3,2,3,3,2,1,2,3,3,2,4,3,3,3,2,3,3,2,2,2,1,2,3,2,2,3,2,2,3,2,2,3,1,4,2,4,3,4,2,2,1,4,3,2,4,3,2,2,3,4,2,4,2,1,1,1,1,1,1,1,1,2,1,1,1,1,5,4,6,7,3,5,5,5,2,3,6,6,5,6,7,6,6,3,5,6,1,2,-2004980779425969222
156,0,5,50,4,57,2,2,2,"2,3",3,88,2,49,0,3,5,"1,5",-999,"1,2,3,4,8,9",-999,89,5,-999,-999,-999,69,-999,0,0,-999,-999,-999,0,-999,48,0,70,0,53,0,2,1,3,2,2,2,2,2,2,2,3,2,1,3,2,2,3,1,2,2,3,3,3,2,2,4,2,2,3,3,2,2,3,4,3,3,3,3,3,2,4,3,2,3,3,4,3,1,3,2,3,4,1,4,3,3,2,1,3,3,2,1,1,1,2,2,1,1,1,1,1,1,2,5,6,7,4,4,2,5,6,2,2,2,3,6,5,6,6,5,6,6,4,3,2,988219318272073516
157,0,5,50,5,50,2,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,8",-999,100,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,0,3,3,1,2,2,1,1,2,2,3,2,1,1,2,2,2,2,1,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,3,3,3,1,4,4,3,3,1,3,3,3,2,2,2,2,2,3,3,2,2,1,3,2,2,3,1,2,3,2,2,3,1,2,3,4,5,2,4,3,3,3,1,4,4,2,1,1,4,2,5,5,3,2,7678448371118151229
158,55,4,51,2,62,1,2,2,2,1,79,2,37,true,-999,4,"1,2",-999,"1,2,4,8",-999,43,-999,-999,-999,-999,-999,-999,true,-999,-999,-999,-999,-999,-999,100,0,60,0,100,0,2,2,4,4,1,3,4,2,3,2,2,2,4,3,2,1,3,3,1,2,2,3,1,3,4,1,1,3,3,2,3,4,1,1,3,2,4,3,1,3,3,4,2,5,2,3,4,1,2,2,3,4,2,1,3,2,2,4,2,3,3,2,3,2,1,2,1,1,3,2,1,3,2,3,5,5,2,2,1,5,2,1,1,1,2,5,1,7,7,3,2,3,1,3,2,-7370157578962913439
159,0,5,50,4,83,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,4,8,3",-999,56,45,-999,-999,-999,-999,-999,0,0,-999,-999,-999,-999,-999,-999,-999,57,0,67,0,4,4,1,2,3,2,3,2,2,3,3,3,1,4,3,3,2,3,3,3,4,2,2,2,2,3,2,2,4,4,3,4,2,1,2,3,4,3,3,2,4,4,5,4,2,3,1,1,4,1,2,4,1,2,4,5,3,2,3,2,2,1,1,3,1,1,1,1,2,2,1,3,2,4,5,6,7,2,5,4,3,1,3,3,6,6,5,6,6,7,3,4,3,1,2,8075351759597960719
160,71,4,47,5,50,1,2,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,4,5,6,8",-999,6,-999,48,53,-999,-999,-999,0,-999,0,0,-999,-999,-999,9,0,37,0,55,0,3,3,1,1,3,1,1,2,1,3,3,1,1,1,4,3,1,1,3,3,3,1,4,1,1,4,3,1,1,3,1,1,3,4,1,4,1,1,4,2,3,1,3,2,4,1,1,1,3,4,1,3,1,3,1,3,4,1,3,1,1,1,1,1,2,2,1,1,1,1,1,2,1,6,4,6,6,6,6,5,5,3,3,5,4,6,6,6,5,7,5,6,6,4,2,5374484929252971908
161,0,5,50,5,50,1,2,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"1,2,8",-999,0,-999,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,0,0,-999,-999,46,0,4,2,1,4,1,1,3,1,1,2,1,2,1,3,2,1,3,1,2,2,2,2,1,3,2,1,3,3,3,1,3,4,2,1,4,1,3,4,1,2,4,5,3,4,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,3,2,1,2,1,3,1,1,3,2,1,3,3,3,4,1,6,2,4,1,1,1,7,5,5,5,2,7,4,3,7,4,2,5,2,8549161645826045332
